,Car,Colour,Price,Links
24,2022 Toyota Sienna,Super White,"$44,483",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-sienna-8471376/
25,2022 Ford Escape,Carbonized Grey Metallic,"$41,794",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8471355/
26,2022 Ford F-150,ATLAS BLUE,"$63,730",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-f-150-8471334/
27,2022 Ford Escape,Carbonized Grey Metallic,"$45,594",https://www.carpages.ca/new-cars/british-columbia/salmon-arm/2022-ford-escape-8471058/
28,2019 Tesla Model 3,Grey,"$73,950",https://www.carpages.ca/used-cars/ontario/oakville/2019-tesla-model-3-8470887/
29,2022 Tesla Model 3,Red,"$82,700",https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-8470830/
30,2012 Toyota Prius,Black,"$16,888",https://www.carpages.ca/used-cars/ontario/toronto/2012-toyota-prius-8470803/
31,2022 Ford Escape,ICONIC SILVER,"$39,944",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-escape-8470464/
32,2022 Ford Escape,PRISTINE WHITE,"$42,494",https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-escape-8470455/
33,2022 Ford Escape,Agate Black Metallic,"$44,494",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-escape-8470386/
34,2022 Ford Explorer,Stone Blue Metallic,"$58,544",https://www.carpages.ca/new-cars/british-columbia/sechelt/2022-ford-explorer-8470227/
35,2022 Tesla Model Y,,"$108,777",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-8470140/
36,2018 Toyota RAV4,Blk Sand Prl,"$36,698",https://www.carpages.ca/used-cars/ontario/ottawa/2018-toyota-rav4-8469939/
37,2022 Hyundai Elantra,Polar Wht,"$30,994",https://www.carpages.ca/new-cars/ontario/kanata/2022-hyundai-elantra-8469819/
38,2020 Ford Fusion,Oxford White,"$32,494",https://www.carpages.ca/used-cars/quebec/laval/2020-ford-fusion-8469477/
39,2022 Jeep Wrangler,Bright White,"$68,800",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-wrangler-8467986/
40,2022 Chrysler Pacifica,Ceramic Grey,"$52,785",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-chrysler-pacifica-8467980/
41,2018 Toyota RAV4,White,"$39,988",https://www.carpages.ca/used-cars/ontario/oakville/2018-toyota-rav4-8467743/
42,2018 Ford Fusion,White,"$27,988",https://www.carpages.ca/used-cars/ontario/guelph/2018-ford-fusion-8467722/
43,2021 Ford Escape,Silver,"$39,988",https://www.carpages.ca/used-cars/ontario/guelph/2021-ford-escape-8467695/
44,2018 Ford Fusion,Gray,"$27,988",https://www.carpages.ca/used-cars/ontario/guelph/2018-ford-fusion-8467689/
45,2022 Jeep Wrangler,White,"$68,175",https://www.carpages.ca/new-cars/ontario/bolton/2022-jeep-wrangler-8467599/
46,2022 Mercedes-Benz E-Class,Gray,"$93,998",https://www.carpages.ca/used-cars/ontario/thornhill/2022-mercedes-benz-e-class-8467563/
47,2020 RAM 1500,Gray,"$72,298",https://www.carpages.ca/used-cars/ontario/thornhill/2020-ram-1500-8467542/
48,2019 Hyundai IONIQ,Summit Gray Pearl,"$35,000",https://www.carpages.ca/used-cars/nova-scotia/halifax/2019-hyundai-ioniq-8467338/
49,2022 Hyundai Tucson,Deep Sea Blue,"$41,224",https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-hyundai-tucson-8467320/
50,2022 RAM 1500,Granite Crystal Metallic,"$76,729",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ram-1500-8466831/
51,2022 Jeep Wrangler,FIRECRACKER RED C/C,"$73,005",https://www.carpages.ca/new-cars/manitoba/selkirk/2022-jeep-wrangler-8466591/
52,2022 Ford Escape,Carbonized Grey Metallic,"$43,144",https://www.carpages.ca/new-cars/british-columbia/sechelt/2022-ford-escape-8466585/
53,2022 Ford F-150,Oxford White,"$68,200",https://www.carpages.ca/new-cars/british-columbia/sechelt/2022-ford-f-150-8466582/
54,2020 Tesla Model 3,Grey,"$64,995",https://www.carpages.ca/used-cars/ontario/clarington/2020-tesla-model-3-8466066/
55,2017 Chevrolet Bolt,Orange Burst Metallic,"$33,994",https://www.carpages.ca/used-cars/ontario/brampton/2017-chevrolet-bolt-8465769/
56,2020 Tesla Model 3,Grey,"$68,980",https://www.carpages.ca/used-cars/quebec/saint-hubert/2020-tesla-model-3-8465658/
57,2021 Tesla Model Y,,"$86,995",https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-tesla-model-y-8465565/
58,2021 Lexus UX,Grey,"$51,999",https://www.carpages.ca/used-cars/alberta/edmonton/2021-lexus-ux-8465403/
59,2022 Ford F-150,Grey,"$83,180",https://www.carpages.ca/new-cars/alberta/edmonton/2022-ford-f-150-8465085/
60,2022 Hyundai IONIQ,Blue,"$57,199",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-ioniq-8465061/
61,2022 Chrysler Pacifica,Ceramic Grey,"$58,680",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-chrysler-pacifica-8463429/
62,2022 RAM 1500,Bright White,"$58,325",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8463411/
63,2022 RAM 1500,Bright White,"$57,430",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8463405/
64,2022 RAM 1500,Granite Crystal Metallic,"$62,880",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ram-1500-8463357/
65,2022 RAM 1500,RED PEARL,"$57,530",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ram-1500-8463351/
66,2022 RAM 1500,Bright White,"$57,135",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ram-1500-8463348/
67,2022 Hyundai Elantra,SPACE BLACK,"$27,499",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-elantra-8462934/
68,2021 Jeep Wrangler,Black,"$61,334",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2021-jeep-wrangler-8462616/
69,2022 Toyota Sienna,0218 MIDNIGHT BLACK METALLIC,"$53,850",https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-toyota-sienna-8462589/
70,2022 Ford Escape,Carbonized Grey,"$43,844",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-escape-8462205/
71,2022 Ford Escape,Agate Black Metallic,"$41,646",https://www.carpages.ca/new-cars/ontario/oakville/2022-ford-escape-8461911/
72,2022 Ford Escape,Iconic Silver Metallic,"$44,394",https://www.carpages.ca/new-cars/british-columbia/sechelt/2022-ford-escape-8461758/
73,2022 Chrysler Pacifica,Brilliant black crystal pearl,"$58,280",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-chrysler-pacifica-8461677/
74,2022 Jeep Wrangler,Silver Zynith,"$76,610",https://www.carpages.ca/new-cars/british-columbia/surrey/2022-jeep-wrangler-8461671/
75,2022 Ford Mustang MACH-E,Space White Metallic,"$75,539",https://www.carpages.ca/new-cars/manitoba/selkirk/2022-ford-mustang-mach-e-8461554/
76,2022 Hyundai Elantra,Space Blk,"$28,894",https://www.carpages.ca/new-cars/ontario/kanata/2022-hyundai-elantra-8461380/
77,2022 Ford Escape,Iconic Silver Metallic,"$40,944",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8461320/
78,2022 Ford Escape,Iced Blue Silver Metallic,"$44,394",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8461317/
79,2022 Toyota Sienna,Grey,"$64,995",https://www.carpages.ca/used-cars/british-columbia/vancouver/2022-toyota-sienna-8460852/
80,2022 Tesla Model 3,Pearl White Multi-Coat,"$83,992",https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-3-8459646/
81,2022 Ford Mustang MACH-E,Grabber Blue Metallic,"$92,530",https://www.carpages.ca/new-cars/ontario/hagersville/2022-ford-mustang-mach-e-8459643/
82,2013 Ford C-MAX,Red,"$11,999",https://www.carpages.ca/used-cars/manitoba/steinbach/2013-ford-c-max-8459076/
83,2022 Toyota Prius,Silver,"$33,337",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-prius-8459040/
84,2022 Toyota Prius,Grey,"$34,337",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-prius-8459034/
85,2022 Toyota Sienna,Black,"$59,877",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-sienna-8459031/
86,2019 Toyota RAV4,White,"$36,900",https://www.carpages.ca/used-cars/ontario/brampton/2019-toyota-rav4-8458296/
87,2015 Lexus CT 200h,White,"$26,477",https://www.carpages.ca/used-cars/manitoba/winnipeg/2015-lexus-ct-200h-8457882/
88,2020 Toyota RAV4,Ruby Flare Pearl,"$51,000",https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-toyota-rav4-8457858/
89,2022 Hyundai Santa Fe,LAGOON BLUE,"$41,899",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-santa-fe-8457723/
90,2022 Hyundai Tucson,Amazon Grey,"$41,999",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-8457708/
91,2022 Hyundai Tucson,Amazon Grey,"$41,999",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-8457705/
92,2020 Ford Escape,Blue,"$43,988",https://www.carpages.ca/used-cars/nova-scotia/halifax/2020-ford-escape-8456700/
93,2015 Tesla Model S,Grey,"$63,995",https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2015-tesla-model-s-8456640/
94,2017 Tesla Model X,Black,"$109,995",https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2017-tesla-model-x-8456637/
95,2016 Ford F-150,White Platinum Metallic Tri-Coat,"$29,296",https://www.carpages.ca/used-cars/ontario/mississauga/2016-ford-f-150-8456319/
96,2017 Dodge Grand Caravan,,"$27,296",https://www.carpages.ca/used-cars/ontario/mississauga/2017-dodge-grand-caravan-8456313/
97,2022 Ford Escape,Stone Blue Metallic,"$50,944",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-escape-8456283/
98,2022 Ford Escape,Agate Black Metallic,"$42,544",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-escape-8456256/
99,2022 Ford Escape,Iced Blue Silver Metallic,"$40,144",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-8456139/
100,2021 Ford F-150,Smoked Quartz Tinted Clearcoat Metallic,"$98,987",https://www.carpages.ca/used-cars/saskatchewan/moose-jaw/2021-ford-f-150-8456133/
101,2022 Jeep Wrangler,FIRECRACKER RED C/C,"$78,455",https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-jeep-wrangler-8455788/
102,2022 Tesla Model Y,,"$110,998",https://www.carpages.ca/used-cars/british-columbia/surrey/2022-tesla-model-y-8455764/
103,2021 Tesla Model 3,Baltic Grey Metallic,"$81,998",https://www.carpages.ca/used-cars/british-columbia/surrey/2021-tesla-model-3-8455755/
104,2022 Ford F-150,Grey,"$67,430",https://www.carpages.ca/new-cars/alberta/peace-river/2022-ford-f-150-8454552/
105,2019 Nissan Leaf,Pearl White,"$38,991",https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-nissan-leaf-8454102/
106,2018 Toyota RAV4,White,"$36,995",https://www.carpages.ca/used-cars/ontario/waterloo/2018-toyota-rav4-8453499/
107,2017 Toyota RAV4  AWD,Blue,"$33,995",https://www.carpages.ca/used-cars/british-columbia/black-creek/2017-toyota-rav4--awd-8453418/
108,2022 Toyota RAV4,Black,"$36,937",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-rav4-8453346/
109,2022 Lexus NX,Blue,"$79,145",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-lexus-nx-8453259/
110,2022 Audi Q5,Mythos Black Metallic,"$60,644",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452692/
111,2022 Audi Q5,Glacier White Metallic,"$60,644",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452689/
112,2022 Audi Q5,Glacier White Metallic,"$60,644",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452686/
113,2022 Audi Q5,Mythos Black Metallic,"$71,594",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452683/
114,2022 Audi A8,Mythos Black Metallic,"$136,609",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-a8-8452677/
115,2022 Audi Q5,Mythos Black Metallic,"$71,594",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452671/
116,2022 Audi Q5,Florett Silver Metallic,"$59,754",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452665/
117,2022 Audi Q5,Ibis White,"$70,104",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452662/
118,2022 Audi Q5,Florett Silver Metallic,"$72,044",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452656/
119,2022 Audi Q5,Mythos Black Metallic,"$60,644",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8452647/
120,2022 Audi Q7,Mythos Black Metallic,"$91,159",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q7-8452635/
121,2022 Audi Q7,Daytona Gray Pearl Effect,"$94,059",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q7-8452629/
122,2022 Audi Q7,Daytona Gray Pearl Effect,"$84,059",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q7-8452626/
123,2022 Hyundai Elantra,Polar White,"$24,999",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-elantra-8452416/
124,2013 Ford Focus,White,"$13,999",https://www.carpages.ca/used-cars/ontario/peterborough/2013-ford-focus-8451225/
125,2021 Tesla Model 3,Red Multi-Coat,"$67,995",https://www.carpages.ca/used-cars/ontario/north-york/2021-tesla-model-3-8450622/
126,2022 Hyundai Elantra,SPACE BLACK,"$27,024",https://www.carpages.ca/new-cars/ontario/north-bay/2022-hyundai-elantra-8450550/
127,2022 Toyota Highlander,Wind Chill Pearl,"$60,548",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-highlander-8450175/
128,2022 Toyota Highlander,Celestial Silver Metallic,"$58,633",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-highlander-8450172/
129,2022 Toyota Highlander,Ruby Flare Pearl,"$53,093",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-highlander-8450169/
130,2022 Toyota RAV4,Cavalry Blue,"$41,583",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-rav4-8450166/
131,2022 Toyota RAV4,Blizzard Pearl,"$47,908",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-toyota-rav4-8450163/
132,2019 Toyota Camry,White,"$39,895",https://www.carpages.ca/used-cars/alberta/red-deer/2019-toyota-camry-8450157/
133,2021 Tesla Model Y,Black,"$92,888",https://www.carpages.ca/used-cars/ontario/woodbridge/2021-tesla-model-y-8449815/
134,2019 Ford Fusion,White,"$30,999",https://www.carpages.ca/used-cars/ontario/london/2019-ford-fusion-8449758/
135,2017 Chevrolet Volt,Black,"$28,988",https://www.carpages.ca/used-cars/ontario/beamsville/2017-chevrolet-volt-8449743/
136,2022 Jeep Wrangler,Snazzberry Pearlcoat,"$69,195",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-wrangler-8448777/
137,2022 Ford Escape,Iconic Silver Metallic,"$44,294",https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8448738/
138,2019 Nissan Leaf,Black,"$39,995",https://www.carpages.ca/used-cars/british-columbia/vancouver/2019-nissan-leaf-8448597/
139,2022 Tesla Model 3,,"$74,995",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-3-8448594/
140,2022 Ford F-150,Black,"$76,805",https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-8447520/
141,2022 Ford F-150,STAR WHITE METALLIC TRI-COAT,"$74,375",https://www.carpages.ca/new-cars/alberta/lacombe/2022-ford-f-150-8447487/
142,2022 RAM 1500,Ivory White Tri-Coat Pearlcoat,"$88,680",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8447400/
143,2022 Jeep Wrangler,Firecracker Red Clearcoat,"$58,125",https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-wrangler-8447379/
144,2022 Ford F-150,Carbonized Grey Metallic,"$68,875",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8447364/
145,2022 Ford F-150,Iconic Silver Metallic,"$53,710",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8447355/
146,2022 Ford F-150,Agate Black Metallic,"$83,765",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8447346/
147,2022 Ford F-150,Agate Black Metallic,"$83,815",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8447343/
148,2022 Mercedes-Benz GLE,Black,"$93,088",https://www.carpages.ca/new-cars/ontario/sudbury/2022-mercedes-benz-gle-8447283/
149,2021 Hyundai KONA,Pulse Red,"$55,998",https://www.carpages.ca/used-cars/british-columbia/abbotsford/2021-hyundai-kona-8447115/
150,2021 Jeep Wrangler,Grey,"$77,999",https://www.carpages.ca/used-cars/british-columbia/surrey/2021-jeep-wrangler-8447079/
151,2016 Toyota RAV4,Blue,"$37,885",https://www.carpages.ca/used-cars/british-columbia/vernon/2016-toyota-rav4-8446881/
152,2020 Toyota Prius,Ruby Red Tinted Clearcoat,"$39,877",https://www.carpages.ca/used-cars/british-columbia/vernon/2020-toyota-prius-8446878/
153,2018 Toyota Camry,Platinum White Pearl,"$35,998",https://www.carpages.ca/used-cars/ontario/st-catharines/2018-toyota-camry-8446851/
154,2019 Tesla Model 3,Pearl White Multi-Coat,"$59,000",https://www.carpages.ca/used-cars/british-columbia/richmond/2019-tesla-model-3-8446452/
155,2020 Chevrolet Bolt,SUMMIT WHITE,"$40,995",https://www.carpages.ca/used-cars/quebec/saint-hubert/2020-chevrolet-bolt-8446437/
156,2022 Ford Mustang MACH-E,Space White Metallic,"$72,840",https://www.carpages.ca/new-cars/ontario/kingston/2022-ford-mustang-mach-e-8446410/
157,2022 Ford Mustang MACH-E,SHADOW BLACK,"$72,840",https://www.carpages.ca/new-cars/ontario/kingston/2022-ford-mustang-mach-e-8446404/
158,2011 GMC Yukon,Black,"$22,995",https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2011-gmc-yukon-8445933/
159,2022 Hyundai IONIQ,Grey,"$62,199",https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-ioniq-8445897/
160,2022 Tesla Model Y,Pearl White Multi-Coat,"$98,992",https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8445768/
161,2017 Lexus CT 200h,Gray[Nebula Grey Pearl],"$31,500",https://www.carpages.ca/used-cars/manitoba/winnipeg/2017-lexus-ct-200h-8445729/
162,2020 Ford Fusion,ICONIC SILVER,"$36,900",https://www.carpages.ca/used-cars/british-columbia/salmon-arm/2020-ford-fusion-8445333/
163,2021 Tesla Model Y,White,"$82,700",https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-8445294/
164,2021 Tesla Model Y,Grey,"$97,700",https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-8445291/
165,2013 Hyundai Sonata,Black,"$10,995",https://www.carpages.ca/used-cars/ontario/cambridge/2013-hyundai-sonata-8444316/
166,2021 Hyundai IONIQ,PHANTOM BLACK,"$39,877",https://www.carpages.ca/used-cars/nova-scotia/halifax/2021-hyundai-ioniq-8443785/
167,2019 Audi A6,Black,"$59,992",https://www.carpages.ca/used-cars/nova-scotia/hebbville/2019-audi-a6-8443716/
168,2022 Ford F-150,Agate Black,"$76,145",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443647/
169,2022 Ford F-150,Oxford White,"$58,970",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443632/
170,2022 Ford F-150,Agate Black,"$75,905",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443629/
171,2022 Ford F-150,Carbonized Grey,"$65,840",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443626/
172,2022 Ford F-150,Agate Black,"$65,840",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443620/
173,2022 Ford F-150,ATLAS BLUE,"$65,840",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8443617/
174,2018 GMC Sierra 1500,Onyx Black,"$51,296",https://www.carpages.ca/used-cars/ontario/mississauga/2018-gmc-sierra-1500-8443509/
175,2022 Lincoln Corsair,PRISTINE WHITE MET 3C,"$67,895",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-lincoln-corsair-8443398/
176,2022 Ford Escape,STAR WHITE METALLIC TRI-COAT,"$40,694",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-8443383/
177,2022 Ford Escape,Carbonized Gray,"$40,144",https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-escape-8443377/
178,2020 Hyundai KONA,Phantom Black [black],"$52,900",https://www.carpages.ca/used-cars/british-columbia/richmond/2020-hyundai-kona-8443059/
179,2022 Ford Escape,Rapid Red Metallic Tinted Clearcoat,"$49,144",https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8442861/
180,2015 Porsche Cayenne,Black,"$48,888",https://www.carpages.ca/used-cars/ontario/vaughan/2015-porsche-cayenne-8442825/
181,2020 Tesla Model 3,White,"$66,999",https://www.carpages.ca/used-cars/british-columbia/surrey/2020-tesla-model-3-8442072/
182,2022 Tesla Model 3,White,"$84,999",https://www.carpages.ca/used-cars/british-columbia/surrey/2022-tesla-model-3-8442060/
183,2019 RAM 1500,Black,"$62,999",https://www.carpages.ca/used-cars/alberta/peace-river/2019-ram-1500-8441595/
184,2022 Ford Escape,Red,"$44,144",https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-escape-8441574/
185,2022 Ford F-150,Silver,"$71,120",https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-f-150-8441562/
186,2017 Lincoln MKZ,,"$29,900",https://www.carpages.ca/used-cars/ontario/newmarket/2017-lincoln-mkz-8441196/
187,2021 Ford F-150,White,"$66,998",https://www.carpages.ca/used-cars/ontario/cobourg/2021-ford-f-150-8441100/
188,2014 Toyota Prius c,Blue,"$9,998",https://www.carpages.ca/used-cars/ontario/toronto/2014-toyota-prius-c-8440428/
189,2013 Hyundai Sonata,Black,"$11,900",https://www.carpages.ca/used-cars/ontario/hamilton/2013-hyundai-sonata-8440095/
190,2022 Toyota Corolla,Dark Blue,"$25,837",https://www.carpages.ca/new-cars/ontario/ancaster/2022-toyota-corolla-8440056/
191,2019 Lexus ES 300,White,"$42,999",https://www.carpages.ca/used-cars/ontario/toronto/2019-lexus-es-300-8439678/
192,2019 Lexus UX,Silver,"$38,999",https://www.carpages.ca/used-cars/ontario/toronto/2019-lexus-ux-8439591/
193,2022 Hyundai Elantra,Electric Shadow,"$27,499",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-elantra-8438616/
194,2022 Hyundai Tucson,Crystal White,"$41,799",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-tucson-8438607/
195,2022 Hyundai Santa Fe,LAGOON BLUE,"$48,899",https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-santa-fe-8438589/
196,2022 Jeep Wrangler,FIRECRACKER RED,"$76,014",https://www.carpages.ca/new-cars/saskatchewan/regina/2022-jeep-wrangler-8438469/
197,2022 Ford F-150,ICONIC SILVER,"$64,970",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8437863/
198,2022 Ford F-150,Agate Black,"$65,840",https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8437845/
199,2022 Jeep Grand Wagoneer,Bright White Clearcoat,"$103,164",https://www.carpages.ca/used-cars/saskatchewan/saskatoon/2022-jeep-grand-wagoneer-8437671/
200,2021 Audi Q5,Navarra Blue Metallic,"$64,000",https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-q5-8437569/
201,2022 Ford F-150,STAR WHITE METALLIC TRI-COAT,"$93,385",https://www.carpages.ca/new-cars/british-columbia/sechelt/2022-ford-f-150-8437356/
